id,tweet,url,source,user_id,user_lang,user_name,user_screen_name,user_location,media_id,media_url,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,url_display,url_expanded,keywords,place_id,place_type,place_name,place_url,place_full_name,place_country,location,user_mention_screen_name,user_mention_name,is_possibly_sensitive,is_retweeted_by_me,is_retweet,is_favorited,is_truncated,retweet_count,created_by,created_date,last_modified_by,last_modified_date
22,"RT @SincerelyTumblr: Life goal ✈️🌎 http://t.co/8AqgpsDGOt",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961632,en,Destiny.,destiny_galindo,,632442970214662000,http://pbs.twimg.com/media/CMbvVF2WcAA7osU.jpg,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",SincerelyTumblr,"Sincerely Tumblr",false,false,true,false,false,6326,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
1,"RT @ArianatorIsland: -VIA SNAPCHAT- http://t.co/9O22BnPMRq",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961611,de,nãdine,generousari,"june 13, 2015",632442970214662000,http://pbs.twimg.com/ext_tw_video_thumb/632442970214662144/pu/img/ZWlW2qTM3b0aUutJ.jpg,-1,-1,-1,,,"red, green",,,,,,,"37.7752,-122.4232",ArianatorIsland,"Ariana Grande Update",false,false,true,false,false,133,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
19,"under construction",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961629,en,dzu,dzuwairyy,"Kajang, Selangor",632442970214662000,,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
14,"Me and @JaysGotAmo had a song that went 'This is the chorus, the zoot was enormous, we got so high, that we couldn't write a chorus' banger",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961624,en,"Big Zuu ",ItsBigZuu,"MicTy x Big Zuu (Link Below) ",632442970214662000,,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",JaysGotAmo,"Jay Amo",false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
10,"RT @PaulDav52131562: @kawalpeet @akrivipol @noellbulka @ElektraButler @Kelly40JONES have a wonderful day!!!:)))))))) http://t.co/rT1kx6rWsU",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961620,ar,"D.O.M.A ",MMP__Dreams2,,632442970214662000,http://pbs.twimg.com/media/CMcazXcUcAAMuro.jpg,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",PaulDav52131562,"Paul Davis",false,false,true,false,false,8,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
25,"RT @OutfitsHeaven: I want it all 😍 http://t.co/hTvMqiT3Lr",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961635,pt,"| amaisparva |",_amaisparva,"Barreiro, Portugal",632442970214662000,http://pbs.twimg.com/media/CCzmF_BUsAEsqSb.jpg,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",OutfitsHeaven,Fashion,false,false,true,false,false,3070,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
9,"RT @FalkenTire: RT & follow for a chance to win our Falken/@Hot_Wheels bonus pack! Winner picked Monday Rules: http://t.co/xk5Ks4sR6a http:…",http://t.co/xk5Ks4sR6a,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",416961619,en,samantha,sweetheartl_g,,632442970214662000,http://pbs.twimg.com/media/CJa3bR9VAAALB4Q.jpg,-1,NULL,-1,bit.ly/18XYTps,http://bit.ly/18XYTps,yellow,,,,,,,"37.7752,-122.4232",FalkenTire,"Falken Tire",false,false,true,false,false,206,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
27,"NO IM CRYING https://t.co/3CPhw83DTq",https://t.co/3CPhw83DTq,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961637,en-GB,"jariana updates",jarianaleaders,"owner: dani & jasmine",632442970214662000,,-1,NULL,-1,vine.co/v/eXU5qpBl52F,https://vine.co/v/eXU5qpBl52F,yellow,,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
3,"RT @mukoma_1: @RasMankindDiv so it was you who asked for it. Happy to share hehe",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961613,en,"Vendor InCharge",RasMankindDiv,"Durban.ZA | Chegutu Zim",632442970214662000,,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",mukoma_1,"Inno ",false,false,true,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
24,"RT @zaynmalik: Don't know why I'm being attacked for defending myself , people got it twisted! I love my fans ?! Every single one of you x",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961634,es,"DRAG ME DOWN ❤ ",OopsHiForAway,,632442970214662000,,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",zaynmalik,zayn,false,false,true,false,false,215914,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
4,"RT @Shuntrel17: @RebaForever58 Yes, times does fly. Enjoy your Senior year cuz its gonna go buy quick.",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961614,en,ferdous,RebaForever58,,632442970214662000,,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",Shuntrel17,"Courtney S. Johnson",false,false,true,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
7,"RT @WORIDSTARHIPH0P: Zach is savage http://t.co/gocCEWnf84",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961617,en,"Not Gluten-free",Team_Demi_God,"Austin, Texas",632442970214662000,http://pbs.twimg.com/media/CMdn9oFWgAAbkSc.jpg,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",WORIDSTARHIPH0P,WSHH,false,false,true,false,false,349,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
6,"RT @japhanhowell: I know I'm killing everyone but I knew this looked familiar http://t.co/uz2WybHL4D",,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",416961616,es,"luke !!",pIantboylester,(✿◠‿◠)⊃━☆ﾟ*:･ﾟ✧*:･ﾟ✧,632442970214662000,http://pbs.twimg.com/media/CMZPO2-VAAActUR.jpg,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",japhanhowell,emily,false,false,true,false,false,104,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
11,"im always dancing when taking photos 😑👇👇👇",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961621,en,nabilah,siti_nabilahhx,,632442970214662000,,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",,,false,false,false,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
21,"RT @paulynne1202: Good Night Sweet people …always with my love. Leave room in your heart… for the Unimaginable…… http://t.co/7eo2BQELKE",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",416961631,tr,Cemil,70cemil,,632442970214662000,http://pbs.twimg.com/media/CMDk5dHUsAAs6NW.jpg,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",paulynne1202,"Lynñë °M°",false,false,true,false,false,133,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
16,"RT @justinbieber: will u always be there?",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",416961626,tr,"Sema ",Jbibs_1994,"Ontario, Canada",632442970214662000,,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",justinbieber,"Justin Bieber",false,false,true,false,false,219866,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
28,"RT @AlexaM98: Happy birthday miss you tons ❤️😘❤️ @AliciaFallert",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961638,en,Aliciaaa,AliciaFallert,,632442970214662000,,-1,NULL,-1,,,"red, green",,,,,,,"37.7752,-122.4232",AlexaM98,Lex❤️,false,false,true,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
29,"RT @ladygaga: Sue me I love a good PUMP 👄👠 http://t.co/CX8X3ckftp",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961639,en,"Seamus Barnes",seamus_barnes,"england, wishing i was in NYC",632442970214662000,http://pbs.twimg.com/media/CMd5_RiUsAAqWAO.jpg,-1,NULL,-1,,,"blue, black",,,,,,,"37.7752,-122.4232",ladygaga,"Lady Gaga",false,false,true,false,false,550,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
30,"RT @jamiejaysheehan: LARRY is real. ❤️️",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961640,pt,rose,TOMLINSONBEER,,632442970214662000,,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",jamiejaysheehan,Jamie'Jay,false,false,true,false,false,2470,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
15,"RT @THE_PoopyGuy: @TrueMcMahonism @LegendaryPatey @KheraSimr I am Fuji",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",416961625,en,Tommy,LegendaryPatey,"Local Indy Show",632442970214662000,,-1,NULL,-1,,,yellow,,,,,,,"37.7752,-122.4232",THE_PoopyGuy,"Turd Burglar",false,false,true,false,false,1,system,"2015-09-26 12:59:18.621000",system,"2015-09-26 12:59:18.621000"
